,fornavn,etternavn,periode_liste
2225,Inger Lise,Hansen,{2001-2005}
2226,Inger,Møll,{2001-2005}
2227,Inger,Stokstad,{2001-2005}
2229,Ivar,Systad,{2001-2005}
2230,Jan-Erik,Gaup,{2001-2005}
2231,Jan L.,Stub,{2001-2005}
2232,Jan Edvin,Silseth,"{2001-2005,1997-2001}"
2234,Jan Birger,Medhaug,{2001-2005}
2235,Jens Jørgen,Lie,{2001-2005}
2236,Jon Olav,Alstad,"{2001-2005,1997-2001}"
2237,Joril,Christensen,{2001-2005}
2238,John,Knudseth,{2001-2005}
2239,Jan Petter,Rasmussen,"{2001-2005,1997-2001}"
2240,Janne,Nakken,{2001-2005}
2241,Just Hjalmar,Johansen,{2001-2005}
2243,Jostein W.,Rovik,"{2001-2005,1997-2001}"
2244,Kari Anne,Moe,{2001-2005}
2245,Kari,Fosso,{2001-2005}
2246,Katrine Nesset,Pollen,{2001-2005}
2247,Kari,Økland,"{2001-2005,1997-2001}"
2248,Karin,Galaaen,{2001-2005}
2249,Karin,Kjølmoen,"{2001-2005,1997-2001}"
2251,Karl Einar,Haslestad,"{2001-2005,1997-2001}"
2252,Kari,Gløersen,"{2001-2005,1997-2001}"
2253,Kari Hølmo,Holen,"{2001-2005,1997-2001}"
2254,Karin Helene,Nygaard,{2001-2005}
2255,Kent Inge Stenberg,Ryen,{2001-2005}
2256,Kristen,Bartnes,{2001-2005}
2257,Kirsti,Welander,{2001-2005}
2259,Kjell,Jamne,"{2001-2005,1997-2001}"
2260,Karstein,Hansen,"{2001-2005,1997-2001}"
2261,Kjetil,Landrog,{2001-2005}
2262,Raymond,Marthinsen,{2001-2005}
2264,Klara Gauthun,Tveit,{2001-2005}
2266,Kåre,Mæland,{2001-2005}
2267,Kari,Mo,"{2001-2005,1997-2001}"
2268,Knut Even,Lindsjørn,{2001-2005}
2269,Kathrine Pernille,Olsen,{2001-2005}
2270,Kari Austerheim,Silde,{2001-2005}
2271,Karin,Nordstad,{2001-2005}
2272,Karl-Anton,Swensen,{2001-2005}
2273,Kari,Sørheim,"{2001-2005,1997-2001}"
2274,Kuberan,Thurairajah,{2001-2005}
2275,Kjell Tore,Wirum,{2001-2005}
2276,Linda Beate,Randal,"{2001-2005,1997-2001}"
2277,Lene,Christiansen,{2001-2005}
2278,Leif Christian,Johansen,{2001-2005}
2279,Leidulf,Gloppestad,{2001-2005}
2280,Liv Hilde Vårvik,Lien,{2001-2005}
2281,Lill Karin,Dale,{2001-2005}
2282,Lone Sundt,Kokkvoll,{2001-2005}
2283,Lars,Ødegård,"{2001-2005,1997-2001}"
2284,Liv Sæbø,Fausa,{2001-2005}
2285,Liv,Skaaheim,{2001-2005}
2286,Lilly Tønnevold,Stakkeland,{2001-2005}
2287,Margaret,Eckbo,{2001-2005}
2288,Marianne,Borgen,"{2001-2005,1997-2001}"
2289,Mari,Hagen,{2001-2005}
2290,Marie,Kürstein,{2001-2005}
2291,Mathias,Råheim,"{2001-2005,1997-2001}"
2292,Marit Berger,Røsland,{2001-2005}
2293,May-Anne,Brand,{2001-2005}
2294,Mette,Gundersen,{2001-2005}
2295,Mali Grete N.,Aksnes,{2001-2005}
2296,Marit,Fenne,{2001-2005}
2297,Maria Hoff,Aanes,{2001-2005}
2298,Mona,Enstad,{2001-2005}
2299,Marianne,Knarud,{2001-2005}
2301,Margrethe Litlabø,Vatna,{2001-2005}
2302,Monica,Mæland,{2001-2005}
2303,Morten,Olsen,"{2001-2005,1997-2001}"
2304,Morten,Sommer,{2001-2005}
2305,Marit,Rustad,{2001-2005}
2306,Nils Arnt,Lines,{2001-2005}
2307,Nordan,Helland,{2001-2005}
2308,Norvall,Nøringset,{2001-2005}
2310,Oddny Margit,Aakre,{2001-2005}
2311,Oddbjørn,Hanssen,"{2001-2005,1997-2001}"
2313,Oddrun Dahle,Liasjø,{2001-2005}
2314,Ola Einar,Flem,{2001-2005}
2315,Odd Erik,Johansen,{2001-2005}
2316,Ove Geir,Grimstad,"{2001-2005,1997-2001}"
2318,Thomas,Smedsrud,{1997-2001}
2320,Ola,Ingvaldstad,"{2001-2005,1997-2001}"
2321,Øivind,Ekeberg,{2001-2005}
2322,Olin Johanne,Henden,{2001-2005}
2323,Oddvar Johan,Jensen,{2001-2005}
2324,Olav,Huseby,"{2001-2005,1997-2001}"
2325,Olav Steinar,Namtvedt,{2001-2005}
2326,Oddny Irene,Miljeteig,{2001-2005}
2328,Olaf,Diserud,{2001-2005}
2329,Oddny,Omdal,{2001-2005}
2330,Ola,Røtvei,"{2001-2005,1997-2001}"
2332,Ola T.,Heggem,{2001-2005}
2333,Ottar,Kaldhol,"{2001-2005,1997-2001}"
2334,Øyvind,Slåke,{2001-2005}
2335,Pål,Berrefjord,{2001-2005}
2336,Peggy Bolstad,Davidsen,{2001-2005}
2337,Per,Brovold,{2001-2005}
2338,Per J.,Jordal,{2001-2005}
2339,Per,Østvold,{2001-2005}
2340,Petter,Johansen,{2001-2005}
2341,Per John,Skjervik,{2001-2005}
2342,Pål,Kårbø,{2001-2005}
2343,Phu,Le Duong,{2001-2005}
2344,Per-Anton,Nesjan,{2001-2005}
2345,Per Åge,Nilsen,{2001-2005}
2346,Per Steinar,Osmundnes,{2001-2005}
2347,Peder,Syrdalen,{2001-2005}
2348,Ragna,Flotve,{2001-2005}
2349,Ragnhild,Røed,{2001-2005}
2350,Ragnar Bøe,Elgsaas,{2001-2005}
2351,Runbjørg Bremset,Hansen,{2001-2005}
2352,Robert Cornels,Nordli,{2001-2005}
2353,Rolf Erling,Andersen,"{2001-2005,1997-2001}"
2354,Reidun,Gravdahl,"{2001-2005,1997-2001}"
2355,Reidun Vigestad,Berge,"{2001-2005,1997-2001}"
2356,Reidar,Sortland,{2001-2005}
2357,Ruth Lilian,Brekke,{2001-2005}
2358,Reidun Loland,Erikstein,{2001-2005}
2359,Bjørn,Ropstad,{2001-2005}
2360,Ruth Olaug,Rist,{2001-2005}
2362,Rita,Tveiten,"{2001-2005,1997-2001}"
2364,Ruth,Stenersen,"{2001-2005,1997-2001}"
2365,Samba,Njie,{2001-2005}
2367,Svenn,Kristiansen,{2001-2005}
2368,Svein Erik,Odden,{2001-2005}
2369,Solveig,Helland,{2001-2005}
2370,Sigrunn Hole,Hosaas,{2001-2005}
2371,Silja Ekeland,Bjørkly,{2001-2005}
2373,Sølve,Karlsen,{2001-2005}
2375,Ståle,Økland,{2001-2005}
2376,Solgull,Klette,{2001-2005}
2377,Svein Otto,Nilsen,{2001-2005}
2378,Sølve,Sivertsen,{2001-2005}
2379,Solveig Tolpinrud,Solberg,{2001-2005}
2380,Stine,Stensrød,{2001-2005}
2381,Stine Helena,Svendsen,{2001-2005}
2382,Shahbaz,Tariq,"{2001-2005,1997-2001}"
2383,Signe,von Streng,{2001-2005}
2384,Svanhild,Mykløy,{2001-2005}
2385,Svein,Bringsjord,{2001-2005}
2386,Sverre,Folkestad,{2001-2005}
2388,Solveig Varnes,Solbakken,"{2001-2005,1997-2001}"
2389,Synnøve,Stokke,{2001-2005}
2390,Trine Brænden,Olsen,{2001-2005}
2391,Terje,Amundsen,{2001-2005}
2392,Tron Erik,Hovind,"{2001-2005,1997-2001}"
2393,Terje,Kleiven,{2001-2005}
2394,Tove,Lehre,{2001-2005}
2395,Tove Helland,Vea,"{2001-2005,1997-2001}"
2396,Terje,Johansen,{2001-2005}
2397,Toril Kvaale,Eriksen,{2001-2005}
2398,Teddy,Kjendlie,{2001-2005}
2399,Thea Kristine,Schjerven,{2001-2005}
2400,Trine Lise,Eriksen,{2001-2005}
2401,Tora,Husan,{2001-2005}
2402,Tomas,Norvoll,"{2001-2005,1997-2001}"
2403,Tore,Nordseth,"{2001-2005,1997-2001}"
2404,Torill Haaland,Horpestad,"{2001-2005,1997-2001}"
2405,Tormod,Vågsnes,{2001-2005}
2406,Trond,Åmo,{2001-2005}
2407,Trond Martin,Sæterhaug,{2001-2005}
2408,Torkild Solli,Haukaas,{2001-2005}
2409,Tord Kristian,Skancke,{2001-2005}
2410,Toni Kristin,Solbakken,{2001-2005}
2412,Unni Hennum,Lie,"{2001-2005,1997-2001}"
2413,Vegard Bjørntvedt,Øvrebø,{2001-2005}
2414,Venke,de Lange,{2001-2005}
2415,Vibekke,Kristiansen,{2001-2005}
2417,Wenche,Bolle,{2001-2005}
2418,Wenja Elisabeth,Ringen,"{2001-2005,1997-2001}"
2419,Wenche,Cumming,{2001-2005}
2420,Yngvar,Aarebrot,{2001-2005}
2421,Yngvar,Hansen-Tangen,{2001-2005}
2422,Ørnulf,Skjæran,"{2001-2005,1997-2001}"
2423,Øystein,Ådland,"{2001-2005,1997-2001}"
2424,Åge,Tovan,"{2001-2005,1997-2001}"
2427,Bjørn Aage,Lassen,{2001-2005}
2429,Eva,Borkenhagen,"{2001-2005,1997-2001}"
2430,Grethe G.,Fossum,"{2001-2005,1997-2001}"
2432,Hans-Christian,Gabrielsen,{2001-2005}
2433,Harald,Hove,"{2001-2005,1997-2001}"
2435,Inge,Myrvoll,"{2001-2005,1997-2001}"
2438,Jan,Koløy,{2001-2005}
2439,Jens Petter,Ekornes,{2001-2005}
2442,Kåre G.,Knudsen,{2001-2005}
2443,Kjell,Moberg,{2001-2005}
2444,Kaare,Sandegren,{2001-2005}
2445,Kurt Norvald,Bakken,{2001-2005}
2447,Lidio,Dominguez,{2001-2005}
2449,Liv Marit,Moland,"{2001-2005,1997-2001}"
2451,Morten,Lødøen,{2001-2005}
2453,Paul Oddvar,Liseth,"{2001-2005,1997-2001}"
2455,Rune,Gerhardsen,{2001-2005}
2456,Steinar,Berge,{2001-2005}
2457,Siri,Bjerke,"{2001-2005,1997-2001}"
2458,Yngve,Ulset,{2001-2005}
2459,Anne Britt,Norø,{1997-2001}
2461,Arne,Tunheim,{1997-2001}
2462,Anne Christel,Johnsgaard,{1997-2001}
2463,Anders C.,Sjaastad,{1997-2001}
2464,Arne Dagfinn,Øynes,{1997-2001}
2465,Elisabeth,Heggehagen,{1997-2001}
2467,Aud,Folkestad,{1997-2001}
2468,Anne Grethe,Erlandsen,{1997-2001}
2469,Arild,Gjervan,{1997-2001}
2470,Anders,Hornslien,{1997-2001}
2471,Arve Hans,Otterlei,{1997-2001}
2472,Arvid,Falch,{1997-2001}
2473,Arild Ingar,Lægreid,{1997-2001}
2474,Irene,Linnes,{1997-2001}
2475,Arild,Kjempekjenn,{1997-2001}
2476,Alf-Eivind,Ljøstad,{1997-2001}
2477,Anne Liv Kaarstad,Lie,{1997-2001}
2478,Anne Lise,Lunde,{1997-2001}
2479,Anne Mette,Amundsen,{1997-2001}
2480,Anita,Midtskogen,{1997-2001}
2481,Amir,Keyani,{1997-2001}
2483,Astrid,Rathe,{1997-2001}
2484,Arild,Daleng,{1997-2001}
2486,Arne,Larsen,{1997-2001}
2487,Arne Rekdal,Olsen,{1997-2001}
2488,Anne Sofie,Berge,{1997-2001}
2489,Aina G.,Simonsen,{1997-2001}
2490,Anne Therese,Gullberg,{1997-2001}
2492,Arna Vik,Misje,{1997-2001}
2493,Aud,Watnebryn,{1997-2001}
2494,Asmund,Wold,{1997-2001}
2495,Alfredo,Zamudio jr.,{1997-2001}
2496,Brynjulf,Aagesen,{1997-2001}
2497,Bjørg,Bruset,{1997-2001}
2499,Bernhard,Riksfjord,{1997-2001}
2500,Bjørg Hope,Galtung,{1997-2001}
2501,Bjørnar,Olsen,{1997-2001}
2502,Bjørn,Robstad,{1997-2001}
2503,Bjørn,Skaar,{1997-2001}
2504,Bjørg,Wallevik,{1997-2001}
2505,Bjørn,Hansen,{1997-2001}
2506,Bjørn,Eriksen,{1997-2001}
2507,Bjørn,Iversen,{1997-2001}
2508,Berit,Kvæven,{1997-2001}
2509,Bjørg Kyrkjebø,Staaland,{1997-2001}
2510,Britt-Hege,Nicolaysen,{1997-2001}
2511,Brit,Strandrud,{1997-2001}
2512,Bjarte Skoe,Erikstein,{1997-2001}
2514,Christian,Christensen,{1997-2001}
2516,Dagfinn,Ripnes,{1997-2001}
2517,Dagny Gärtner,Hovig,{1997-2001}
2518,Diann,Wallin,{1997-2001}
2520,Einar,Ellefsrud,{1997-2001}
2521,Ellen Gjerpe,Hansen,{1997-2001}
2522,Egil,Johansson,{1997-2001}
2524,Eirik Langeland,Fjeld,{1997-2001}
2525,Eilert Jan,Lohne,{1997-2001}
2526,Elin,Aune,{1997-2001}
2527,Ellen,Bergli,{1997-2001}
2528,Else Brandvoll,Andresen,{1997-2001}
2529,Endre Lund,Eriksen,{1997-2001}
2530,Else Marie,Stuenæs,{1997-2001}
2532,Erna,Ansnes,{1997-2001}
2533,Erling,Brandsnes,{1997-2001}
2534,Erland,Fagermoen,{1997-2001}
2535,Eva,Døvle,{1997-2001}
2536,Even,Erlien,{1997-2001}
2537,Even,Gran,{1997-2001}
2538,Fredrik,Färber,{1997-2001}
2539,Finn Sture,Hultgreen,{1997-2001}
2540,Frid Einarsdotter,Fossbakk,{1997-2001}
2541,Finn Ragnar,Kydland,{1997-2001}
2542,Terje,Tønnessen,{1997-2001}
2543,Frank Willy,Larsen,{1997-2001}
2545,Gerd,Johnsen,{1997-2001}
2546,Gunleik,Hynne,{1997-2001}
2548,Gunnar,Molander,{1997-2001}
2549,Gudmunn,Vevang,{1997-2001}
2550,Gudny,Fagerhol,{1997-2001}
2551,Gustav,Hareide,{1997-2001}
2552,Gunn,Steinhovden,{1997-2001}
2553,Gunn-Vivian,Eide,{1997-2001}
2554,Grethe Westergaard,Bjørlo,{1997-2001}
2555,Hallvard,Aamlid,{1997-2001}
2556,Harald,Holand,{1997-2001}
2557,Hans-Martin,Jørgensen,{1997-2001}
2558,Hans E.,Nikolaisen,{1997-2001}
2559,Hanne Varhaug,Søberg,{1997-2001}
2560,Henny,Bjerkedok,{1997-2001}
2561,Hallgrim,Berg,{1997-2001}
2562,Helen,Fløisand,{1997-2001}
2563,Helene Falch,Fladmark,{1997-2001}
2566,Henning Jacobsen,Rolfsøn,{1997-2001}
2567,Håkon Steinar,Giil,{1997-2001}
2568,Helge,Svendsen,{1997-2001}
2569,Håkon,Andersen,{1997-2001}
2570,Håvard,Haukvik,{1997-2001}
2571,Håvard Wennevold,Osflaten,{1997-2001}
2572,Inger Johanne,Drevvatn,{1997-2001}
2573,Ingvild,Gjerstad,{1997-2001}
2574,Ingrid,Herje,{1997-2001}
2575,Inger Jo,Haaland,{1997-2001}
2576,Inger Johanne,Kristiansen,{1997-2001}
2577,Inger Jorun,Årseth,{1997-2001}
2578,Inga,Kvalbukt,{1997-2001}
2579,Inger Lise,Balandin,{1997-2001}
2581,Lovise,Raudsandmoen,{1997-2001}
2582,Inger Lise,Sæter,{1997-2001}
2583,Ida Marie,Løvlien,{1997-2001}
2584,Ingfrid Bjørnstad,Grøv,{1997-2001}
2585,Inger Marit,Sverresen,{1997-2001}
2586,Inge,Bartnes,{1997-2001}
2587,Inga,Balstad,{1997-2001}
2588,Ingjerd,Johnson,{1997-2001}
2589,Inger Lise,Brække,{1997-2001}
2590,Inge Takle,Mæstad,{1997-2001}
2591,Inger,Randem,{1997-2001}
2593,Ina,Utne,{1997-2001}
2594,Iris,Bartholsen,{1997-2001}
2595,Ingebjørg,Ulbaasen,{1997-2001}
2596,John,Arntsen,{1997-2001}
2597,Jarle,Skartun,{1997-2001}
2598,Jarmund,Øyen,{1997-2001}
2599,Jorid Annie,Sønstegaard,{1997-2001}
2600,Jarle,Braut,{1997-2001}
2602,Jens Arnfinn,Brødsjømoen,{1997-2001}
2603,Jone,Handeland,{1997-2001}
2604,Jens Dybevik,Knapstad,{1997-2001}
2605,Jørgen,Holte,{1997-2001}
2607,Jan M.,Vevatne,{1997-2001}
2608,Joar T.,Brobakk,{1997-2001}
2609,Johannes,Sandstad,{1997-2001}
2610,Jostein,Solberg,{1997-2001}
2611,Jon,Tørset,{1997-2001}
2612,Jan,Solheim,{1997-2001}
2613,Jan Th.,Langaard,{1997-2001}
2614,Jørund,Ruud,{1997-2001}
2615,Knut,Anvik,{1997-2001}
2616,Kari,Berthelsen,{1997-2001}
2617,Kaare,Hjorth,{1997-2001}
2618,Kari,Manger,{1997-2001}
2619,Kadafi,Zaman,{1997-2001}
2620,Kari Bakke,Nævdal,{1997-2001}
2621,Kari,Brudevoll,{1997-2001}
2622,Knut Fredrik,Firing,{1997-2001}
2623,Sigurd,Grytten,{1997-2001}
2624,Kåre,Harila,{1997-2001}
2625,Kirsten Huser,Leschbrandt,{1997-2001}
2626,Kjell H.,Sæther,{1997-2001}
2627,Kjell Ivar,Fossnes,{1997-2001}
2628,Kjell-Ivar,Hansen,{1997-2001}
2629,Kirsti,Nyblin,{1997-2001}
2630,Kjell Erik,Brekke,{1997-2001}
2631,Kjell,Netland,{1997-2001}
2632,Kjell,Serigstad,{1997-2001}
2633,Kjell,Øvergård,{1997-2001}
2635,Karin,Lian,{1997-2001}
2636,Kåre,Ludvigsen,{1997-2001}
2637,Kari,Moan,{1997-2001}
2638,Karen Marie Eira,Buljo,{1997-2001}
2639,Knut,Nysæther,{1997-2001}
2640,Karl N.,Meløysund,{1997-2001}
2641,Kirsten Nessler,Seglem,{1997-2001}
2642,Kristine,Marthinsen,{1997-2001}
2643,Knut,Sundet,{1997-2001}
2644,Kjell Terje,Fevåg,{1997-2001}
2645,Kurt-Arne,Langeland,{1997-2001}
2646,Kurt,Weltzien,{1997-2001}
2647,Kristin Bade,Veire,{1997-2001}
2648,Kristian,Wengen,{1997-2001}
2649,Lars Arne,Ryssdal,{1997-2001}
2650,Lars,Ramstad,{1997-2001}
2651,Laila,Schult,{1997-2001}
2652,Leif,Gjessing,{1997-2001}
2653,Lone Furuhaugen,Bråthen,{1997-2001}
2655,Leif,Hafstad,{1997-2001}
2656,Lisbeth,Holand,{1997-2001}
2657,Lisbet,Rugtvedt,{1997-2001}
2658,Leif Arne,Larsen,{1997-2001}
2659,Liv Oda,Dale,{1997-2001}
2660,Liv,Sandven,{1997-2001}
2661,Laila,Tjønnvåg,{1997-2001}
2662,Magnhild Afseth,Olrud,{1997-2001}
2663,Marie,Førde,{1997-2001}
2664,Magnus,Skåden,{1997-2001}
2665,Magnar,Heggernes,{1997-2001}
2666,Marianne,Hagen,{1997-2001}
2667,Margareth,Grovassbakk,{1997-2001}
2668,Marit,Nyhuus,{1997-2001}
2669,Marit,Lefdal,{1997-2001}
2670,Merete,Agerbak-Jensen,{1997-2001}
2671,Marianne,Hofseth,{1997-2001}
2673,Mette Lund,Stake,{1997-2001}
2674,Mildrid Marie,Olsen,{1997-2001}
2675,Mai-Britt,Olsen,{1997-2001}
2676,Monika Soltveit,Gabrielli,{1997-2001}
2677,Magnhild,Reisæter,{1997-2001}
2678,Margaritha,Rambøl,{1997-2001}
2680,Nils R.,Sandal,{1997-2001}
2681,Njål S.,Føsker,{1997-2001}
2682,Odd,Djøseland,{1997-2001}
2684,Ole Herman,Sveian,{1997-2001}
2685,Ole Kristian,Kjølholdt,{1997-2001}
2686,Osvald,Ludviksen,{1997-2001}
2687,Ole Kristian,Udnes,{1997-2001}
2688,Ola,Prestegarden,{1997-2001}
2689,Ole,Tinghaug,{1997-2001}
2690,Olav,Pedersen,{1997-2001}
2691,Oscar,Eide,{1997-2001}
2692,Olav,Teppen,{1997-2001}
2693,Ove,Rullestad,{1997-2001}
2694,Per,Norheim,{1997-2001}
2695,Pål,Graff,{1997-2001}
2696,Pauline Gundersen,Nordbø,{1997-2001}
2697,Ragnhild,Hellemo,{1997-2001}
2698,Per,Hvamstad,{1997-2001}
2699,Reidun,Bakken,{1997-2001}
2701,Roy,Gyberg,{1997-2001}
2702,Roy,Høibo,{1997-2001}
2703,Rita H.,Roaldsen,{1997-2001}
2706,Rikke,Lind,{1997-2001}
2707,Ronald,Nielsen,{1997-2001}
2708,Roger,Skarvik,{1997-2001}
2709,Roy,Waage,{1997-2001}
2710,Randi,Røvik,{1997-2001}
2711,Roar,Raste,{1997-2001}
2712,Rune,Fadum,{1997-2001}
2713,Reidun,Vevle,{1997-2001}
2714,Robert,Wright,{1997-2001}
2715,Steinar,Aspli,{1997-2001}
2716,Sissel,Dagslet,{1997-2001}
2717,Siv Aase,Eggen,{1997-2001}
2718,Stein,Borkmo,{1997-2001}
2719,Svein Erik,Kristiansen,{1997-2001}
2721,Sidsel,Hansen,{1997-2001}
2723,Sigrunn,Heen,{1997-2001}
2724,Solfrid,Ballo,{1997-2001}
2725,Solfrid,Nilsen,{1997-2001}
2726,Sondre,Nordjordet,{1997-2001}
2727,Solbjørg,Nystad,{1997-2001}
2728,Svein Ottar,Sandal,{1997-2001}
2729,Svein H.,Antonsen,{1997-2001}
2730,Svein Erik,Brodal,{1997-2001}
2731,Svein,Helgesen,{1997-2001}
2732,Svein,Konstali,{1997-2001}
2733,Svein,Maalø,{1997-2001}
2734,Sylvia,Hammersvik,{1997-2001}
2735,Solveig Åsgard,Kleven,{1997-2001}
2736,Toril,Abrahamsen,{1997-2001}
2737,Torill B.,Høyland,{1997-2001}
2738,Christian,Svendsen,{1997-2001}
2739,Tor-Even,Heltorp,{1997-2001}
2741,Terje,Lillemo,{1997-2001}
2742,Tom,Forkerud,{1997-2001}
2743,Theis,Salvesen,{1997-2001}
2744,Thorbjørn,Merkesdal,{1997-2001}
2746,Torgny,Hagerup,{1997-2001}
2747,Torbjørg,Mydland,{1997-2001}
2748,Torger Johannes,Nilsen,{1997-2001}
2749,Tore,Arnegard,{1997-2001}
2750,Trine,Gjersøe,{1997-2001}
2751,Trond,Mathisen,{1997-2001}
2752,Thomas,Wetting,{1997-2001}
2753,Terje,Stenseng,{1997-2001}
2754,Terje,Søviknes,{1997-2001}
2756,Turid,Opedal,{1997-2001}
2757,Tore,Øvsthun,{1997-2001}
2758,Unn,Aarrestad,{1997-2001}
2759,Unni,Walaas,{1997-2001}
2760,Vibeke,Dalen,{1997-2001}
2761,Vigdis Hjulstad,Belbo,{1997-2001}
2763,Vivian Knarvik,Bugge,{1997-2001}
2764,Vanja Stenslie,Krakk,{1997-2001}
2765,Vedis,Vik,{1997-2001}
2766,Walther,Mainhard,{1997-2001}
2767,Yngve,Brox,{1997-2001}
2768,Øivind,Skjerve,{1997-2001}
2769,Øistein,Solgaard,{1997-2001}
2770,Åshild,Anmarkrud,{1997-2001}
2771,Åse,Sælensminde,{1997-2001}
2772,Åse Grønlien,Østmoe,{1997-2001}
2774,Anniken Kavli,Molland,{1997-2001}
2776,Benn,Mikalsen,{1997-2001}
2777,Bente,Nygård,{1997-2001}
2778,Borghild Winsnes,Malum,{1997-2001}
2781,Gro,Knudsen,{1997-2001}
2783,Hakon,Lunde,{1997-2001}
2784,Helge,Høva,{1997-2001}
2785,Inger,Eikesdal,{1997-2001}
2787,Inger Marie,Aurlien,{1997-2001}
2788,Inger-Marie,Ytterhorn,{1997-2001}
2791,Karen Irene,Stangeland,{1997-2001}
2792,Kari Oftedal,Lima,{1997-2001}
2793,Kai,Ekanger,{1997-2001}
2796,Leon,Bodd,{1997-2001}
2798,Liv Margrete,Dolve,{1997-2001}
2799,Magnar,Lussand,{1997-2001}
2800,Merete Skarhol,Gran,{1997-2001}
2802,Roy Vidar,Heia,{1997-2001}
2803,Svein,Brækken,{1997-2001}
2804,Sigrun S.,Natås,{1997-2001}
2805,Tore,Brokke,{1997-2001}
2806,Thorleif,Holth,{1997-2001}
2808,Tove Kari,Viken,{1997-2001}
