,seg_id,name,clean,merged,Rett navn
42572,ParlaMint-NO_200001_010608.ud2e925,,,,
102692,ParlaMint-NO_200506_060509.ud5e231,Olemic Thommesen (H),olemic thommesen,olemicthommesen,Olemic Thommessen
120896,ParlaMint-NO_200506_060509.ud5e678,Line Henriette Holten Hjemdal (KrF),line henriette holten hjemdal,linehjemdal,Line Henriette Holten
133664,ParlaMint-NO_200304_040402.ud6e752,Karita Bekkemellem Orheim (A),karita bekkemellem orheim,karitaorheim,Karita Bekkemellem
277092,ParlaMint-NO_201112_120613.ud9e1825,Else-May Botten (A),elsemay botten,elsemaybotten,Else-May Norderhus
299965,ParlaMint-NO_201213_130305.ud14e982,Akhtar Chaudry,akhtar chaudry,akhtarchaudry,Akhtar Chaudhry
312706,ParlaMint-NO_201415_141201.ud16e2065,Ingjerd Schau,ingjerd schau,ingjerdschau,Ingjerd Schou
327491,ParlaMint-NO_200607_061026.ud20e289,Sonja Mandt-Bartholsen (A),sonja mandtbartholsen,sonjamandtbartholsen,Sonja Mandt
328481,ParlaMint-NO_201011_110405.ud22e1467,Arild Stokkan-Grande (A),arild stokkangrande,arildstokkangrande,Arild Grande
346707,ParlaMint-NO_200708_080506-2.ud27e562,Hilde Magnusson Lydvo (A),hilde magnusson lydvo,hildelydvo,Hilde Magnusson
350021,ParlaMint-NO_200708_071129.ud28e671,Åse M. Schmidt (FrP),åse m. schmidt,åseschmidt,Åse Michaelsen
353676,ParlaMint-NO_201011_110606.ud29e337,Statsråd Hanne Inger Bjurstrøm,hanne inger bjurstrøm,hannebjurstrøm,Hanne Bjurstrøm
355400,ParlaMint-NO_200102_011218.ud31e832,Ine Marie Eriksen (H),ine marie eriksen,ineeriksen,Ine Marie Eriksen Søreide
361795,ParlaMint-NO_199900_000302.ud43e689,Urula Evje (Frp),urula evje,urulaevje,Ursula Evje
362553,ParlaMint-NO_200607_061207.ud45e1904,Torbjørn Jagland,torbjørn jagland,torbjørnjagland,Thorbjørn Jagland
363459,ParlaMint-NO_200203_030327.ud49e1695,Carl. I. Hagen (FrP),carl. i. hagen,carl.hagen,Carl I. Hagen
365489,ParlaMint-NO_199899_981105.ud53e273,Berit Brørby Larsen (A),berit brørby larsen,beritlarsen,Berit Brørby
366881,ParlaMint-NO_200203_030328.ud55e820,Anders Bjørlo Lysbakken (SV),anders bjørlo lysbakken,anderslysbakken,Audun Lysbakken
367213,ParlaMint-NO_199900_000530.ud62e246,Anne Enger Lahnstein (Sp),anne enger lahnstein,annelahnstein,Anne Enger
367549,ParlaMint-NO_200102_020321.ud63e144,Silja Ekeland (H),silja ekeland,siljaekeland,Silja Ekeland Bjørkly
369427,ParlaMint-NO_200708_071213.ud66e8039,Andersen Anundsen (FrP),andersen anundsen,andersenanundsen,Anders Anundsen
369876,ParlaMint-NO_200607_070326.ud75e1060,Sona Irene Sjøli (H),sona irene sjøli,sonasjøli,Sonja Irene Sjøli
370176,ParlaMint-NO_200102_020220.ud81e1316,Linda Cathrine Hofstad (H),linda cathrine hofstad,lindahofstad,Linda Hofstad Helleland
370235,ParlaMint-NO_200102_020220.ud81e2073,Oddbjørn Ausdal Starrfelt (A),oddbjørn ausdal starrfelt,oddbjørnstarrfelt,Oddbjørg Ausdal Starrfelt
370553,ParlaMint-NO_199899_981022.ud86e762,Statsråd Aud-Inger Aure,audinger aure,audingeraure,Aud Inger Aure
372466,ParlaMint-NO_200910_100323.ud101e144,Frank Bakke Jensen (H),frank bakke jensen,frankjensen,Frank Bakke-Jensen
372527,ParlaMint-NO_200001_010213-2.ud102e789,Hill Marta Solberg (A),hill marta solberg,hillsolberg,Hill-Marta Solberg
372866,ParlaMint-NO_200405_041213.ud113e1282,Eva M. Nilsen (A),eva m. nilsen,evanilsen,Eva M. Nielsen
374686,ParlaMint-NO_200001_001019.ud155e369,Hanne Dyveke Søttar Hagen (Frp),hanne dyveke søttar hagen,hannehagen,Hanne Dyveke Søttar
375861,ParlaMint-NO_200607_070418.ud219e332,Ingebrigt. S. Sørfonn (KrF),ingebrigt. s. sørfonn,ingebrigt.sørfonn,Ingebrigt S. Sørfonn
375895,ParlaMint-NO_200304_031120.ud225e81,Oddvar Nilsen (H),oddvar nilsen,oddvarnilsen,Oddvard Nilsen
375974,ParlaMint-NO_200809_081105.ud240e297,May Helen Molvær Grimstad (KrF),may helen molvær grimstad,maygrimstad,May-Helen Molvær Grimstad
375977,ParlaMint-NO_200809_081105.ud240e314,Per Willy Amundsen (FrP),per willy amundsen,peramundsen,Per-Willy Amundsen
375981,ParlaMint-NO_200809_081105.ud240e1572,Ketil Solvik Olsen (FrP),ketil solvik olsen,ketilolsen,Ketil Solvik-Olsen
376291,ParlaMint-NO_200506_051124-2.ud254e492,Marianne Aasen Agdestein (A),marianne aasen agdestein,marianneagdestein,Marianne Aasen
376475,ParlaMint-NO_200506_060608.ud263e1347,Anne Ljunggren (A),anne ljunggren,anneljunggren,Anna Ljunggren
376514,ParlaMint-NO_200809_081120.ud279e1454,Tor Arne Strøm (A),tor arne strøm,torstrøm,Tor-Arne Strøm
376530,ParlaMint-NO_200708_071204.ud284e1281,Bjørn Sturla Hovden (FrP),bjørn sturla hovden,bjørnhovden,Bjørn Sturla Odden
376665,ParlaMint-NO_200102_020508.ud303e763,Øivind Halleraker,øivind halleraker,øivindhalleraker,Øyvind Halleraker
376723,ParlaMint-NO_199899_981021.ud317e350,Satsminister Kjell Magne Bondevik,satsminister kjell magne bondevik,satsministerbondevik,Kjell Magne Bondevik
376737,ParlaMint-NO_200708_071010.ud329e451,Helge Solum Larsen (V),helge solum larsen,helgelarsen,Helge Solum-Larsen
376741,ParlaMint-NO_200708_071010.ud329e926,Representanten Harald Victor Hove (H),representanten harald victor hove,representantenhove,Harald Victor Hove
376742,ParlaMint-NO_200203_030528.ud342e255,Inger Lise Holmberg,inger lise holmberg,ingerholmberg,Kari Lise Holmberg
376886,ParlaMint-NO_199900_000608-2.ud350e370,Lisbeth Rugtvedt (SV),lisbeth rugtvedt,lisbethrugtvedt,Lisbet Rugtvedt
376887,ParlaMint-NO_200809_081022.ud351e922,Statsråd Anne Grete Strøm Erichsen,anne grete strøm erichsen,anneerichsen,Anne-Grete Strøm-Erichsen
376896,ParlaMint-NO_200809_081022.ud351e1024,Jan Henrik Fredriksen (FrP),jan henrik fredriksen,janfredriksen,Jan-Henrik Fredriksen
377013,ParlaMint-NO_200607_061215.ud401e411,Per-Roar Bredvold (FrP),perroar bredvold,perroarbredvold,Per Roar Bredvold
377101,ParlaMint-NO_201011_110328.ud424e64,"Per-Kristian Foss Presidenten: Klokken er 12.02.17, og statsråden er nå til stede. Stortingets møte er lovlig satt.","perkristian foss presidenten: klokken er .., og en er nå til stede. stortingets møte er lovlig satt.",perkristiansatt.,Per-Kristian Foss
377116,ParlaMint-NO_200607_070214.ud431e549,Per Sandberg (FrP) –,per sandberg –,per–,Per Sandberg
377117,ParlaMint-NO_200102_020213.ud438e1087,Julie Christensen (H),julie christensen,juliechristensen,Julie Christiansen
377118,ParlaMint-NO_200102_020213.ud438e1810,Statsråd Torhild Skogsholm,torhild skogsholm,torhildskogsholm,Torild Skogsholm
377126,ParlaMint-NO_199900_991124.ud454e254,Eirin Faldet  (A)V,eirin faldet v,eirinv,Eirin Faldet
377134,ParlaMint-NO_200405_041215.ud462e1950,Per Sandberg FrP,per sandberg frp,perfrp,Per Sandberg
377152,ParlaMint-NO_201213_130621.ud478e1964,Statsråd Karl-Eirik Schjøtt-Pedersen,karleirik schjøttpedersen,karleirikschjøttpedersen,Karl Eirik Schjøtt-Pedersen
377174,ParlaMint-NO_200001_010502.ud503e1289,Åse Wisløff Nilsen (KrF),åse wisløff nilsen,åsenilsen,Åse Wisløff Nilssen
377216,ParlaMint-NO_201112_120607.ud515e2184,Statsråd Anne Grete Strøm-Erichsen,anne grete strømerichsen,annestrømerichsen,Anne-Grete Strøm-Erichsen
377244,ParlaMint-NO_200910_091111.ud530e939,Statsråd Anne-Grete Strøm- Erichsen,annegrete strøm erichsen,annegreteerichsen,Anne-Grete Strøm-Erichsen
377301,ParlaMint-NO_199899_981204.ud540e507,Trond Erik Hovind (Sp),trond erik hovind,trondhovind,Tron Erik Hovind
377303,ParlaMint-NO_201516_160615.ud544e1496,Kjell Idar Juvik (A),kjell idar juvik,kjelljuvik,Kjell-Idar Juvik
377305,ParlaMint-NO_199900_000511-2.ud549e384,Robert Erikson (Frp),robert erikson,roberterikson,Robert Eriksson
377307,ParlaMint-NO_200607_061020.ud551e185,Vidgis Giltun (FrP),vidgis giltun,vidgisgiltun,Vigdis Giltun
377309,ParlaMint-NO_200809_081119.ud554e673,Christian Tybring Gjedde (FrP),christian tybring gjedde,christiangjedde,Christian Tybring-Gjedde
377316,ParlaMint-NO_200001_010611-2.ud557e818,smund Kristoffersen,smund kristoffersen,smundkristoffersen,Asmund Kristoffersen
377332,ParlaMint-NO_199899_981104.ud565e109,Håkon Blankenborg (A),håkon blankenborg,håkonblankenborg,Haakon Blankenborg
377371,ParlaMint-NO_200708_071217.ud613e541,Jahn Sahl (KrF),jahn sahl,jahnsahl,Jan Sahl
377374,ParlaMint-NO_200203_030620.ud626e1497,Gjermund Hageseter (FrP),gjermund hageseter,gjermundhageseter,Gjermund Hagesæter
377406,ParlaMint-NO_201112_111109.ud666e1129,Åshild Karoline Haugland (FrP),åshild karoline haugland,åshildhaugland,Åshild Bruun-Gundersen
377421,ParlaMint-NO_200607_061212.ud681e929,Synnøve Brenden Klemetrud (A),synnøve brenden klemetrud,synnøveklemetrud,Synnøve Brenden
377440,ParlaMint-NO_200405_041004-2.ud717e1454,Finn-Kristian Marthinsen (KrF),finnkristian marthinsen,finnkristianmarthinsen,Finn Kristian Marthinsen
377442,ParlaMint-NO_200304_040604.ud721e81,Ann Helen Rui (A),ann helen rui,annrui,Anne Helen Rui
377443,ParlaMint-NO_200203_030606.ud722e1629,Ketil Bjørklund (SV),ketil bjørklund,ketilbjørklund,Kjetil Bjørklund
377444,ParlaMint-NO_200001_010605-2.ud727e753,"Forslag nr. 2, fra Fremskrittspartiet og representanten Vidar Kleppe, lyder","forslag nr. , fra fremskrittspartiet og representanten vidar kleppe, lyder",forslaglyder,Vidar Kleppe
377481,ParlaMint-NO_199900_991221.ud751e1325,Kirsti Kolle Grøndah,kirsti kolle grøndah,kirstigrøndah,Kirsti Kolle Grøndahl
377525,ParlaMint-NO_200102_020617.ud757e1642,Gunhild Woie Duesund (A),gunhild woie duesund,gunhildduesund,Åse Gunhild Woie Duesund
377549,ParlaMint-NO_201415_150619.ud810e1682,Madussar Kapur (H),madussar kapur,madussarkapur,Mudassar Kapur
377566,ParlaMint-NO_199900_000323.ud832e290,Gunnar Ballo (SV),gunnar ballo,gunnarballo,Olav Gunnar Ballo
377595,ParlaMint-NO_200809_081014.ud879e320,Sonja Mandt Bartholsen (A),sonja mandt bartholsen,sonjabartholsen,Sonja Mandt
377600,ParlaMint-NO_199900_991215.ud897e1008,Rolf Reikvam SV,rolf reikvam sv,rolfsv,Rolf Reikvam
377621,ParlaMint-NO_201415_150507.ud922e568,Kjell Håvard Jensen (FrP),kjell håvard jensen,kjelljensen,Håvard Jensen
377651,ParlaMint-NO_199899_981208-2.ud959e1223,Inger Stolt Nielsen (H),inger stolt nielsen,ingernielsen,Inger Stolt-Nielsen
377669,ParlaMint-NO_200001_010131.ud971e1497,Kari Økland (KrF) Je,kari økland je,karije,Kari Økland
377672,ParlaMint-NO_200203_030225-2.ud975e1541,Hallgeir H. Langland (SV),hallgeir h. langland,hallgeirlangland,Hallgeir H. Langeland
377728,ParlaMint-NO_199899_990120.ud997e1859,John I. Alveim (Frp),john i. alveim,johnalveim,John I. Alvheim
377752,ParlaMint-NO_199899_990607.ud1019e423,Anne Helen Rui (A) J,anne helen rui j,annej,Anne Helen Rui
377757,ParlaMint-NO_201415_150324.ud1022e1024,Kenneth Sivertsen,kenneth sivertsen,kennethsivertsen,Kenneth Svendsen
377885,ParlaMint-NO_199900_991125-2.ud1092e977,Per Ove Width (Frp) R,per ove width r,perr,Per Ove Width
377888,ParlaMint-NO_200809_081023.ud1102e868,Tove Lill Labahå Magga (A),tove lill labahå magga,tovemagga,Tove-Lill Labahå Magga
377910,ParlaMint-NO_200102_020516.ud1153e1379,Finn Kristian Martinsen (KrF),finn kristian martinsen,finnmartinsen,Finn Kristian Marthinsen
377931,ParlaMint-NO_200203_030513.ud1200e573,Maria Hoff (FrP),maria hoff,mariahoff,Maria Hoff Aanes
377939,ParlaMint-NO_201213_130220.ud1212e63,Jan-Arild Ellingsen (FrP),janarild ellingsen,janarildellingsen,Jan Arild Ellingsen
377940,ParlaMint-NO_200001_001201.ud1221e1044,Inger Stolt-Nielsen (H) …,inger stoltnielsen …,inger…,Inger Stolt-Nielsen
377941,ParlaMint-NO_199899_990127.ud1226e1735,Rolv Reikvam (SV),rolv reikvam,rolvreikvam,Rolf Reikvam
377943,ParlaMint-NO_201213_121004.ud1236e3290,Akthtar Chaudry,akthtar chaudry,akthtarchaudry,Akhtar Chaudhry
377957,ParlaMint-NO_200102_011128.ud1242e1335,Eli Sollied Øverås (Sp),eli sollied øverås,eliøverås,Eli Sollied Øveraas
377961,ParlaMint-NO_201516_151217.ud1266e1668,Fredrik Bjørnebekk (A),fredrik bjørnebekk,fredrikbjørnebekk,Fredrik Bjørnebekk-Waagen
377964,ParlaMint-NO_199899_990317.ud1279e1466,John. I. Alvheim (Frp),john. i. alvheim,john.alvheim,John I. Alvheim
377965,ParlaMint-NO_199900_000510.ud1280e1904,Shabaz Tariq (A),shabaz tariq,shabaztariq,Shahbaz Tariq
377995,ParlaMint-NO_201112_111110.ud1349e843,Dag Terje Andresen,dag terje andresen,dagandresen,Dag Terje Andersen
378001,ParlaMint-NO_200102_020424.ud1361e1197,Karl Anton Swensen (Kp),karl anton swensen,karlswensen,Karl-Anton Swensen
378041,ParlaMint-NO_201516_151207.ud1390e2332,Veronica Pedersen (FrP),veronica pedersen,veronicapedersen,Veronica Pedersen Åsheim
378047,ParlaMint-NO_200102_011114.ud1396e519,Øivind Korsberg (FrP),øivind korsberg,øivindkorsberg,Øyvind Korsberg
378057,ParlaMint-NO_201314_140619.ud1408e390,Freddy de Reuiter (A),freddy de reuiter,freddyreuiter,Freddy de Ruiter
378058,ParlaMint-NO_201314_140619.ud1408e4577,Regina Aleksandrova (H),regina aleksandrova,reginaaleksandrova,Regina Alexandrova
378063,ParlaMint-NO_199899_981028.ud1431e1658,Reidun Gravdal (A),reidun gravdal,reidungravdal,Reidun Gravdahl
378066,ParlaMint-NO_201314_140410.ud1465e564,Kjetil Kjenseth (V),kjetil kjenseth,kjetilkjenseth,Ketil Kjenseth
378068,ParlaMint-NO_199899_981130-2.ud1468e935,Gunnar Kvassheim (V,gunnar kvassheim v,gunnarv,Gunnar Kvassheim
378071,ParlaMint-NO_200607_061211.ud1482e1316,Torgeir Michaelsen (A),torgeir michaelsen,torgeirmichaelsen,Torgeir Micaelsen
378074,ParlaMint-NO_200607_070516.ud1489e472,Statsråd Heide Grande Røys,heide grande røys,heiderøys,Heidi Grande Røys
378077,ParlaMint-NO_200102_020619.ud1521e1146,Ola. D. Gløtvold (Sp),ola. d. gløtvold,ola.gløtvold,Ola D. Gløtvold
378086,ParlaMint-NO_200809_090402.ud1551e2773,Unn Therese O. Sørensen (A),unn therese o. sørensen,unnsørensen,Unn Therese Omdal
378088,ParlaMint-NO_199900_000519.ud1560e393,Jon Lilletun (KrF) V,jon lilletun v,jonv,Jon Lilletun
378093,ParlaMint-NO_199900_000127.ud1576e515,Fritdtjof Frank Gundersen (Frp),fritdtjof frank gundersen,fritdtjofgundersen,Fridtjof Frank Gundersen
378095,ParlaMint-NO_199899_990421.ud1591e1234,Oddvard Nielsen (H),oddvard nielsen,oddvardnielsen,Oddvard Nilsen
378099,ParlaMint-NO_201112_120523.ud1602e375,Statsråd Inge Marte Thorkildsen,inge marte thorkildsen,ingethorkildsen,Inga Marte Thorkildsen
378100,ParlaMint-NO_200506_051206.ud1607e814,Peter Løvik (H),peter løvik,peterløvik,Petter Løvik
378101,ParlaMint-NO_201314_140409.ud1608e872,Mange Rommetveit (A),mange rommetveit,mangerommetveit,Magne Rommetveit
378102,ParlaMint-NO_201314_140409.ud1608e1046,Ingrid Kjerkol (A),ingrid kjerkol,ingridkjerkol,Ingvild Kjerkol
378110,ParlaMint-NO_199900_991117.ud1648e2028,Olav Einar Skogholt (A),olav einar skogholt,olavskogholt,Einar Olav Skogholt
378113,ParlaMint-NO_199900_000404.ud1690e1150,Inge Myrvoll SV,inge myrvoll sv,ingesv,Inge Myrvoll
378120,ParlaMint-NO_199900_000126.ud1724e607,Ole Gunnar Ballo (SV),ole gunnar ballo,oleballo,Olav Gunnar Ballo
378158,ParlaMint-NO_200001_010330.ud1779e102,Stortingspresident Kristi Kolle Grøndahl,kristi kolle grøndahl,kristigrøndahl,Kirsti Kolle Grøndahl
378165,ParlaMint-NO_200910_100510.ud1799e897,Anders B. Werp H,anders b. werp h,andersh,Anders B. Werp
378176,ParlaMint-NO_199899_990603.ud1814e1413,Karl Eirik Schjøtt-Pedersen (A) …,karl eirik schjøttpedersen …,karl…,Karl Eirik Schjøtt-Pedersen
378177,ParlaMint-NO_200910_091209.ud1821e205,Trine Skei-Grande (V),trine skeigrande,trineskeigrande,Trine Skei Grande
378188,ParlaMint-NO_199899_981027.ud1836e339,Unn Aaarrestad (Sp),unn aaarrestad,unnaaarrestad,Unn Aarrestad
378189,ParlaMint-NO_199900_000223-2.ud1849e920,Johan J. Jakobsen. (Sp),johan j. jakobsen.,johanjakobsen.,Johan J. Jakobsen
378199,ParlaMint-NO_200001_001207.ud1903e382,Hilde Frafjord Johnson (KrF) Noe,hilde frafjord johnson noe,hildenoe,Hilde Frafjord Johnson
378205,ParlaMint-NO_201314_140610.ud1937e3083,Statsråd Torhild Widvey,torhild widvey,torhildwidvey,Thorhild Widvey
378206,ParlaMint-NO_200001_010215.ud1944e800,Jorun Ringstad (Sp),jorun ringstad,jorunringstad,Jorunn Ringstad
378208,ParlaMint-NO_200405_050511.ud1952e119,Statsråd Hilde Frafjord Johnsen,hilde frafjord johnsen,hildejohnsen,Hilde Frafjord Johnson
378216,ParlaMint-NO_200102_020619-2.ud1993e1533,Statsråd Kristen Clemet,kristen clemet,kristenclemet,Kristin Clemet
